Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
26.0,3.0,4.0,2.29,0.0,20.0,0.99,5.0,18.0,0.0,4.19,27.29,16.26,0.48,0.02,0.06,0.15,-0.11,0.0,1170.0,178.0,3.0,0.0,0.0,178.0,178.0,5.920468351055063e-05,2.9602341755275316e-05,1.794512659986198e-05,1.304052098002345,0.8,16.9,235.62,67.89,0.0
11.0,4.0,9.0,0.89,0.0,29.0,0.71,5.0,3.0,1.0,3.04,36.35,36.03,0.22,0.08,0.28,0.07,-0.27,4.0,756.0,0.0,2.0,0.0,0.0,0.0,0.0,5.127536223895343e-05,2.5637681119476716e-05,1.5399158640921874e-05,1.3336793056520266,1.0,15.51,174.97,74.2,1.0
7.0,8.0,10.0,1.62,1.0,1.0,0.81,8.0,16.0,0.0,0.7,25.65,21.45,0.07,0.08,0.28,0.17,-0.27,3.0,301.0,7.0,0.0,0.0,0.0,7.0,7.0,8.883719825175534e-06,4.441859912587767e-06,2.6782604157769947e-06,1.388296525028953,1.0,9.83,69.75,90.57,1.0
2.0,2.0,6.0,4.35,0.0,2.0,0.59,8.0,10.0,1.0,2.99,23.49,10.03,0.11,0.04,0.12,0.08,-0.1,657.0,719.0,0.0,8.0,0.0,0.0,0.0,0.0,5.534859800613875e-06,2.7674299003069376e-06,1.765322903225654e-06,1.328285502119945,0.2,1.64,92.06,94.72,0.0
7.0,3.0,17.0,3.24,0.0,13.0,0.97,3.0,19.0,1.0,1.63,18.83,10.43,0.28,0.01,0.3,0.18,-0.2,0.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001029174364723,5.145871823618152e-05,3.073847700606432e-05,1.3514281265254444,1.0,12.26,97.87,85.99,1.0
23.0,4.0,1.0,0.54,1.0,18.0,0.44,14.0,15.0,0.0,3.98,18.69,13.11,0.28,0.08,0.09,0.17,-0.29,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001120766410896,5.603832054483761e-05,3.3734410224290924e-05,1.3369182595193343,1.0,11.98,107.24,84.85,1.0
12.0,5.0,16.0,3.16,0.0,22.0,0.11,14.0,11.0,0.0,4.79,5.41,38.02,0.31,0.09,0.23,0.14,-0.14,0.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05557556103914e-05,1.5277877805195698e-05,1.0703856805223942e-05,1.2990500503251694,1.0,16.27,150.36,77.95,1.0
18.0,9.0,13.0,4.03,0.0,3.0,0.53,16.0,17.0,1.0,4.41,25.64,29.76,0.4,0.04,0.15,0.08,-0.03,1108.0,1141.0,0.0,11.0,0.0,0.0,0.0,0.0,1.8092453898183693e-05,9.046226949091846e-06,6.709833985117787e-06,2.06545488427054,0.0,0.91,133.0,93.92,0.0
26.0,13.0,16.0,1.25,0.0,23.0,0.39,8.0,11.0,1.0,1.55,46.65,21.57,0.31,0.05,0.18,0.07,-0.0,900.0,939.0,0.0,10.0,0.0,0.0,0.0,0.0,1.4513544213638858e-05,7.256772106819429e-06,4.411275903562651e-06,1.9374163090894436,0.0,1.24,112.1,94.72,0.0
18.0,20.0,12.0,2.51,1.0,12.0,0.28,18.0,7.0,0.0,3.77,44.2,27.62,0.45,0.02,0.06,0.11,-0.19,0.0,1207.0,309.0,6.0,0.0,0.0,309.0,309.0,7.673115321905731e-05,3.8365576609528655e-05,2.379821219979516e-05,1.3052514151739067,0.4,15.84,237.05,69.86,0.0
